Model ID,X,Z,Y,scale_x/y/z,SPARSE_ORIENT,STACK_ORIENT,DENSE_ORIENT,SPARSE_SCALE,STACK_SCALE,DENSE_SCALE
001_PLASTICBOTTLE_BASE10,0.08,0.08,0.28,0.15,"(0,0,0)","(0,0,0)","[(0, 0, 0), (0,0,90)]",1,1,0.7
001_PLASTICBOTTLE_BASE11,0.06,0.06,0.24,0.15,"(0,0,0)","(0,0,0)","[(0, 0, 0), (0,0,90)]",1,1,0.7
001_PLASTICBOTTLE_BASE12,0.08,0.08,0.28,0.15,"(0,0,0)","(0,0,0)","[(0, 0, 0), (0,0,90)]",1,1,0.7
001_PLASTICBOTTLE_BASE13,0.06,0.06,0.27,0.15,"(0,0,0)","(0,0,0)","[(0, 0, 0), (0,0,90)]",1,1,0.7
001_PLASTICBOTTLE_BASE14,0.09,0.09,0.28,0.15,"(0,0,0)","(0,0,0)","[(0, 0, 0), (0,0,90)]",1,1,0.7
001_PLASTICBOTTLE_BASE15,0.08,0.08,0.28,0.15,"(0,0,0)","(0,0,0)","[(0, 0, 0), (0,0,90)]",1,1,0.7
001_PLASTICBOTTLE_BASE16,0.07,0.07,0.28,0.15,"(0,0,0)","(0,0,0)","[(0, 0, 0), (0,0,90)]",1,1,0.7
001_PLASTICBOTTLE_BASE17,0.08,0.08,0.28,0.15,"(0,0,0)","(0,0,0)","[(0, 0, 0), (0,0,90)]",1,1,0.7
001_PLASTICBOTTLE_BASE18,0.09,0.09,0.21,0.12,"(0,0,0)","(0,0,0)","[(0, 0, 0), (0,0,90)]",1,1,0.7
001_PLASTICBOTTLE_BASE19,0.09,0.09,0.19,0.13,"(0,0,0)","(0,0,0)","[(0, 0, 0), (0,0,90)]",1,1,0.7
001_PLASTICBOTTLE_BASE20,0.08,0.08,0.28,0.15,"(0,0,0)","(0,0,0)","[(0, 0, 0), (0,0,90)]",1,1,0.7
001_PLASTICBOTTLE_BASE21,0.09,0.09,0.18,0.1,"(0,0,0)","(0,0,0)","[(0, 0, 0), (0,0,90)]",1,1,0.7
001_PLASTICBOTTLE_BASE22,0.08,0.08,0.26,0.14,"(0,0,0)","(0,0,0)","[(0, 0, 0), (0,0,90)]",1,1,0.7
002_BOWL_BASE1,0.09,0.09,0.03,0.04,"(0,0,0)","(0,0,0)","(90,0,0)",1,1,1
002_BOWL_BASE2,0.1,0.1,0.03,0.04,"(0,0,0)","(0,0,0)","(90,0,0)",1,1,1
002_BOWL_BASE3,0.09,0.09,0.03,0.035,"(0,0,0)","(0,0,0)","(90,0,0)",1,1,1
002_BOWL_BASE4,0.07,0.07,0.03,0.04,"(0,0,0)","(0,0,0)","(90,0,0)",1,1,1
002_BOWL_BASE5,0.08,0.08,0.03,0.04,"(0,0,0)","(0,0,0)","(90,0,0)",1,1,1
002_BOWL_BASE6,0.07,0.07,0.03,0.04,"(0,0,0)","(0,0,0)","(180,0,0)",1,1,1
002_BOWL_BASE7,0.08,0.08,0.03,0.04,"(0,0,0)","(0,0,0)","(180,0,0)",1,1,1
003_PLATE_BASE0,0.1,0.1,0.01,0.013,"(0,0,0)","(0,0,0)","(90,0,0)",1,1,1
004_FLUTEDBLOCK_BASE0,0.05,0.07,0.05,0.35,"(0,0,0)","(0,0,0)","(180,0,0)",1,1,1
004_FLUTEDBLOCK_BASE1,0.05,0.07,0.05,0.35,"(0,0,0)","(0,0,0)","(180,0,0)",1,1,1
007_SHOEBOX_BASE0,0.09,0.16,0.06,0.25,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
008_TRAY_BASE0,0.15,0.01,0.09,0.08,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,1
008_TRAY_BASE1,0.15,0.01,0.09,0.08,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,1
008_TRAY_BASE2,0.13,0.01,0.09,0.07,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,1
008_TRAY_BASE3,0.13,0.01,0.1,0.08,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,1
011_DUSTBIN_BASE0,0.09,0.06,0.11,0.03,"(0,0,0)","(0,0,0)","[(0, 0, 90),(0,0,0)]",1,1,1
017_CALCULATOR_BASE0,0.09,0.05,0.14,0.08,"(0,0,0)","(0,0,0)","[(180, 0, 90), (180, 0, 0)]",1,1,1
017_CALCULATOR_BASE2,0.1,0.05,0.14,0.07,"(0,0,0)","(0,0,0)","[(180, 0, 90), (180, 0, 0)]",1,1,1
017_CALCULATOR_BASE3,0.09,0.01,0.12,0.06,"(0,0,0)","(0,0,0)","[(180, 0, 90), (180, 0, 0)]",1,1,1
017_CALCULATOR_BASE4,0.08,0.04,0.19,0.08,"(0,0,0)","(0,0,0)","[(180, 0, 90), (180, 0, 0)]",1,1,1
017_CALCULATOR_BASE5,0.08,0.01,0.15,0.08,"(0,0,0)","(0,0,0)","[(180, 0, 90), (180, 0, 0)]",1,1,1
018_MICROPHONE_BASE0,0.05,0.19,0.05,0.1,"(0,0,0)","(0,0,0)","[(90, 0, 0),(90, 90, 0),(90, 90, 90)]",1,1,1
018_MICROPHONE_BASE1,0.06,0.06,0.19,0.1,"(0,0,0)","(0,0,0)","[(0, 0, 0),(0,90,0),(0, 90, 90)]",1,1,1
018_MICROPHONE_BASE4,0.19,0.05,0.05,0.1,"(0,0,0)","(0,0,0)","[(0, 0, 0),(0,0,90)]",1,1,1
018_MICROPHONE_BASE5,0.04,0.04,0.19,0.1,"(0,0,0)","(0,0,0)","[(0, 0, 0),(0,90,0),(0, 90, 90)]",1,1,1
021_CUP_BASE0,0.09,0.09,0.1,0.1,"(0,0,0)","(0,0,0)","[(0, 0, 0),(90,0,0),(0,0,90)]",1,1,1
021_CUP_BASE1,0.08,0.08,0.1,0.1,"(0,0,0)","(0,0,0)","[(0, 0, 0),(90,0,0),(0,0,90)]",1,1,1
021_CUP_BASE2,0.07,0.07,0.1,0.1,"(0,0,0)","(0,0,0)","[(0, 0, 0),(90,0,0),(0,0,90)]",1,1,1
021_CUP_BASE3,0.09,0.09,0.1,0.1,"(0,0,0)","(0,0,0)","[(0, 0, 0),(90,0,0),(0,0,90)]",1,1,1
021_CUP_BASE4,0.08,0.08,0.08,0.08,"(0,0,0)","(0,0,0)","[(0, 0, 0),(90,0,0),(0,0,90)]",1,1,1
021_CUP_BASE5,0.07,0.07,0.08,0.08,"(0,0,0)","(0,0,0)","[(0, 0, 0),(90,0,0),(0,0,90)]",1,1,1
021_CUP_BASE6,0.08,0.11,0.09,0.06,"(0,0,0)","(0,0,0)","[(0, 0, 0),(0,90,0)]",1,1,0.8
021_CUP_BASE7,0.08,0.11,0.1,0.06,"(0,0,0)","(0,0,0)","[(0, 0, 0),(0,90,0)]",1,1,0.8
021_CUP_BASE8,0.07,0.1,0.07,0.06,"(0,0,0)","(0,0,0)","[(0, 0, 0),(0,90,0)]",1,1,0.8
021_CUP_BASE9,0.07,0.11,0.07,0.06,"(0,0,0)","(0,0,0)","(0, 0, 0)",1,1,0.8
021_CUP_BASE10,0.08,0.11,0.06,0.06,"(0,0,0)","(0,0,0)","(0, 0, 0)",1,1,0.8
021_CUP_BASE11,0.08,0.11,0.09,0.06,"(0,0,0)","(0,0,0)","[(0, 0, 0),(0,90,0)]",1,1,0.8
021_CUP_BASE12,0.08,0.12,0.09,0.06,"(0,0,0)","(0,0,0)","[(0, 0, 0),(0,90,0)]",1,1,0.8
023_TISSUEBOX_BASE0,0.15,0.06,0.08,0.08,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.9
023_TISSUEBOX_BASE1,0.15,0.07,0.08,0.08,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.9
023_TISSUEBOX_BASE2,0.15,0.07,0.09,0.08,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.9
023_TISSUEBOX_BASE3,0.09,0.06,0.15,0.08,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.9
023_TISSUEBOX_BASE4,0.15,0.05,0.08,0.08,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.9
023_TISSUEBOX_BASE5,0.14,0.06,0.09,0.08,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.9
023_TISSUEBOX_BASE6,0.08,0.07,0.11,0.06,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.9
025_CHIPSTUB_BASE0,0.09,0.15,0.09,0.08,"(0,0,0)","(0,0,0)","[(0, 0, 0),(90,0,0)]",1,1,0.8
025_CHIPSTUB_BASE1,0.09,0.23,0.09,0.12,"(0,0,0)","(0,0,0)","[(0, 0, 0),(90,0,0)]",1,1,0.8
025_CHIPSTUB_BASE2,0.09,0.18,0.09,0.1,"(0,0,0)","(0,0,0)","[(0, 0, 0),(90,0,0)]",1,1,0.8
025_CHIPSTUB_BASE3,0.07,0.23,0.07,0.12,"(0,0,0)","(0,0,0)","(90,0,0)",1,1,0.8
027_TABLETENNIS_BASE0,0.09,0.09,0.09,0.05,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
027_TABLETENNIS_BASE1,0.09,0.09,0.09,0.05,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
028_ROLLPAPER_BASE0,0.13,0.09,0.09,0.07,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,0.9
028_ROLLPAPER_BASE1,0.1,0.08,0.1,0.05,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,0.9
028_ROLLPAPER_BASE2,0.11,0.09,0.09,0.06,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
028_ROLLPAPER_BASE3,0.09,0.08,0.09,0.05,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,0.9
029_OLIVEOIL_BASE0,0.08,0.21,0.09,0.7,"(0,0,0)","(0,0,0)","(180, 0, 0)",1,1,0.8
029_OLIVEOIL_BASE1,0.07,0.3,0.07,1,"(0,0,0)","(0,0,0)","(180, 0, 0)",1,1,0.7
029_OLIVEOIL_BASE2,0.07,0.3,0.1,1,"(0,0,0)","(0,0,0)","[(180, 0, 0), (180,0,90)]",1,1,0.7
029_OLIVEOIL_BASE3,0.07,0.3,0.07,1,"(0,0,0)","(0,0,0)","[(180, 0, 0), (180,0,90)]",1,1,0.7
029_OLIVEOIL_BASE4,0.08,0.3,0.08,1,"(0,0,0)","(0,0,0)","[(180, 0, 0), (180,0,90)]",1,1,0.7
031_JAMJAR_BASE0,0.09,0.13,0.9,0.07,"(0,0,0)","(0,0,0)","[(90, 0, 0),(180,0,0)]",1,1,0.9
031_JAMJAR_BASE1,0.08,0.13,0.08,0.07,"(0,0,0)","(0,0,0)","[(90, 0, 0),(180,0,0)]",1,1,0.9
031_JAMJAR_BASE2,0.09,0.13,0.09,0.07,"(0,0,0)","(0,0,0)","[(90, 0, 0),(180,0,0)]",1,1,0.9
031_JAMJAR_BASE3,0.13,0.11,0.08,0.07,"(0,0,0)","(0,0,0)","[(-90, 0, 0),(180, 0, 0),(180, 0, 90)]",1,1,0.9
031_JAMJAR_BASE4,0.07,0.07,0.09,0.05,"(0,0,0)","(0,0,0)","[(90, 0, 0),(180,0,0)]",1,1,0.9
038_MILKBOX_BASE0,0.07,0.14,0.07,1.2,"(0,0,0)","(0,0,0)","[(180, 0, 0), (180,90,0), (180,0,90)]",1,1,0.8
038_MILKBOX_BASE1,0.09,0.2,0.06,0.8,"(0,0,0)","(0,0,0)","[(180, 0, 0), (180,0,90)]",1,1,0.8
038_MILKBOX_BASE2,0.06,0.17,0.07,0.7,"(0,0,0)","(180,0,0)","[(180, 0, 0), (180,90,0), (180,0,90)]",1,0.6,0.8
038_MILKBOX_BASE3,0.07,0.14,0.07,0.7,"(0,0,0)","(0,0,0)","[(180, 0, 0), (180,90,0), (180,0,90)]",1,1,0.8
039_MUG_BASE0,0.08,0.11,0.08,0.06,"(0,0,0)","(0,0,0)","[(90, 0, 0),(90,0,90)]",1,1,0.9
039_MUG_BASE1,0.08,0.11,0.08,0.06,"(0,0,0)","(0,0,0)","[(0, 0, 0),(90,0,90)]",1,1,0.9
039_MUG_BASE2,0.08,0.11,0.08,0.06,"(0,0,0)","(0,0,0)","[(90, 0, 0),(90,0,90)]",1,1,0.9
039_MUG_BASE3,0.07,0.11,0.07,0.06,"(0,0,0)","(0,0,0)","[(90, 0, 0),(90,0,90)]",1,1,0.9
039_MUG_BASE4,0.08,0.11,0.08,0.06,"(0,0,0)","(0,0,0)","[(90, 0, 0),(90,0,90)]",1,1,0.9
039_MUG_BASE5,0.09,0.11,0.09,0.06,"(0,0,0)","(0,0,0)","[(90, 0, 0),(90,0,90)]",1,1,0.9
039_MUG_BASE6,0.07,0.11,0.09,0.06,"(0,0,0)","(0,0,0)","[(90, 0, 0),(90,0,90)]",1,1,0.9
039_MUG_BASE7,0.07,0.11,0.07,0.06,"(0,0,0)","(0,0,0)","[(90, 0, 0),(90,0,90)]",1,1,0.9
039_MUG_BASE8,0.08,0.11,0.08,0.06,"(0,0,0)","(0,0,0)","[(90, 0, 0),(90,0,90)]",1,1,0.9
039_MUG_BASE9,0.07,0.11,0.08,0.06,"(0,0,0)","(0,0,0)","[(90, 0, 0),(90,0,90)]",1,1,0.9
039_MUG_BASE10,0.9,0.1,0.13,1,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.9
039_MUG_BASE11,0.09,0.11,0.07,0.8,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.9
039_MUG_BASE12,0.08,0.11,0.08,0.06,"(0,0,0)","(0,0,0)","[(90, 0, 0),(90,0,90)]",1,1,0.9
042_WOODENBOX_BASE0,0.12,0.08,0.05,0.05,"(0,0,0)","(0,0,0)","[(90, 0, 0),(90,0,90)]",1,1,1
043_BOOK_BASE0,0.16,0.05,0.21,1,"(0,0,0)","(0,0,0)","[(0, 0, 90),(0, 0, 90)]",1,0.8,0.8
043_BOOK_BASE1,0.15,0.01,0.1,0.05,"(0,0,0)","(0,0,90)","[(0, 0, 90),(0, 0, 90)]",1,1,1
047_MOUSE_BASE0,0.08,0.05,0.17,1,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180, 0, 90)]",1,1,0.8
047_MOUSE_BASE1,0.08,0.06,0.15,1,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180, 0, 90)]",1,1,0.8
047_MOUSE_BASE2,0.07,0.05,0.12,0.4,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180, 0, 90)]",1,1,0.8
048_STAPLER_BASE1,0.04,0.09,0.18,0.1,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,1
048_STAPLER_BASE2,0.06,0.08,0.19,0.1,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,1
048_STAPLER_BASE3,0.05,0.08,0.18,0.1,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,1
048_STAPLER_BASE4,0.05,0.09,0.19,0.1,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,1
048_STAPLER_BASE5,0.06,0.09,0.19,0.1,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,1
048_STAPLER_BASE6,0.04,0.06,0.19,0.1,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,1
048_STAPLER_BASE7,0.07,0.07,0.19,0.1,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,1
049_SHAMPOO_BASE1,0.07,0.19,0.04,0.1,"(0,0,0)","(0,0,0)","(90, 0, 90)",1,1,1
049_SHAMPOO_BASE2,0.07,0.19,0.04,0.1,"(0,0,0)","(0,0,0)","(90, 0, 90)",1,1,1
049_SHAMPOO_BASE3,0.05,0.19,0.05,0.1,"(0,0,0)","(0,0,0)","(90, 0, 90)",1,1,1
049_SHAMPOO_BASE4,0.07,0.19,0.09,0.1,"(0,0,0)","(0,0,0)","(90, 0, 90)",1,1,1
049_SHAMPOO_BASE5,0.05,0.19,0.08,0.1,"(0,0,0)","(0,0,0)","(90, 0, 90)",1,1,1
049_SHAMPOO_BASE6,0.08,0.19,0.09,0.1,"(0,0,0)","(0,0,0)","(90, 0, 90)",1,1,1
049_SHAMPOO_BASE7,0.05,0.19,0.08,0.1,"(0,0,0)","(0,0,0)","(90, 0, 90)",1,1,1
